ID,Spending_Score,Segmentation,Age_Group,WE_group,Family_Size_Group,Ever_Married_No,Ever_Married_Yes,Graduated_No,Graduated_Yes,Profession_Artist,Profession_Doctor,Profession_Engineer,Profession_Entertainment,Profession_Executive,Profession_Healthcare,Profession_Homemaker,Profession_Lawyer,Profession_Marketing,Var_1_Cat_1,Var_1_Cat_2,Var_1_Cat_3,Var_1_Cat_4,Var_1_Cat_5,Var_1_Cat_6,Var_1_Cat_7
462809,1,4,1,2,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
462643,2,1,2,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
466315,1,2,4,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
461735,3,2,4,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
462669,3,1,2,1,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
461319,2,3,4,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
460156,1,3,2,2,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
464347,1,4,2,2,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
465015,1,4,4,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
465176,2,3,4,2,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
464041,1,1,1,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
464942,1,4,1,2,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
461230,1,4,1,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
459573,1,1,4,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
460849,1,2,4,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
460563,1,3,3,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
466865,1,4,2,3,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
461644,1,2,2,2,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
466772,2,2,4,2,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
464291,3,3,4,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
466084,1,1,3,4,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
459675,1,4,1,2,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
465602,1,1,2,4,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
459168,1,2,2,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
461021,2,2,4,2,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
465083,2,3,4,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
467604,1,1,2,3,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
459717,2,3,3,2,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
465882,1,2,2,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
461996,1,3,2,3,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
463331,1,3,3,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
462216,1,1,3,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
462454,1,4,1,2,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
467010,1,4,1,3,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
459861,3,4,4,2,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
467917,1,4,1,2,3,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
465572,1,4,2,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
460593,2,4,1,2,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
465891,1,1,1,3,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
