ID,Age,Work_Experience,Spending_Score,Family_Size,Segmentation,Gender_Female,Gender_Male,Ever_Married_No,Ever_Married_Yes,Graduated_No,Graduated_Yes,Profession_Artist,Profession_Doctor,Profession_Engineer,Profession_Entertainment,Profession_Executive,Profession_Healthcare,Profession_Homemaker,Profession_Lawyer,Profession_Marketing,Var_1_Cat_1,Var_1_Cat_2,Var_1_Cat_3,Var_1_Cat_4,Var_1_Cat_5,Var_1_Cat_6,Var_1_Cat_7
462809,-1.5695571724645003,0.02181053925317817,1,0.8764022737692045,4,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
462643,-0.1636832812857786,-1.1726773802918895,2,0.2861536118313656,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
466315,1.316411881978445,0.02181053925317817,1,-1.5473261972059846,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
461735,1.316411881978445,-1.1726773802918895,3,-0.47480926308974797,2,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
462669,-0.030540541264699662,-1.1726773802918895,3,1.7664225601509063,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
461319,0.8466319182819161,-1.1726773802918895,2,-0.47480926308974797,3,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
460156,-0.6084313619495196,0.02181053925317817,1,0.2861536118313656,3,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
464347,-0.5289538197528298,0.02181053925317817,1,0.2861536118313656,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
465015,1.0704863967342955,-1.1726773802918895,1,0.2861536118313656,4,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
465176,0.7995103351168562,0.02181053925317817,2,0.8764022737692045,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
464041,-1.1426769437453903,0.02181053925317817,1,0.2861536118313656,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
464942,-1.9416453841746193,1.0029755559278495,1,0.8764022737692045,4,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
